Date,Price,Return,logReturn,RiskFreeRate,Premium,logRPremium
1993/9/30,4007.864,-0.007707733,-0.007737591,0.0295,-0.037207733,-0.037237591
1993/10/29,4090.7704,0.020685931,0.020474883,0.0302,-0.009514069,-0.009725117
1993/11/30,4051.7672,-0.009534439,-0.009580183,0.031,-0.040534439,-0.040580183
1993/12/31,4100.6577,0.012066463,0.011994244,0.0306,-0.018533537,-0.018605756
1994/1/31,4240.0937,0.034003326,0.033437993,0.0298,0.004203326,0.003637993
1994/2/28,4125.0019,-0.027143693,-0.027518888,0.0325,-0.059643693,-0.060018888
1994/3/31,3945.2262,-0.043581968,-0.044560189,0.035,-0.078581968,-0.079560189
1994/4/29,3995.812,0.012822028,0.012740522,0.0368,-0.023977972,-0.024059478
1994/5/31,4061.4021,0.016414711,0.016281446,0.0414,-0.024985289,-0.025118554
1994/6/30,3961.9267,-0.024492872,-0.024797811,0.0414,-0.065892872,-0.066197811
1994/7/29,4091.8924,0.032803661,0.032277105,0.0433,-0.010496339,-0.011022895
1994/8/31,4259.6566,0.040999172,0.040180994,0.0448,-0.003800828,-0.004619006
1994/9/30,4155.39,-0.024477701,-0.02478226,0.0462,-0.070677701,-0.07098226
1994/10/31,4248.7547,0.022468336,0.022219642,0.0495,-0.027031664,-0.027280358
1994/11/30,4094.0217,-0.036418436,-0.037098141,0.0529,-0.089318436,-0.089998141
1994/12/30,4154.5381,0.014781651,0.014673467,0.056,-0.041218349,-0.041326533
1995/1/31,4262.2746,0.025932245,0.025601707,0.0571,-0.031167755,-0.031498293
1995/2/28,4428.3814,0.038971398,0.038231183,0.0577,-0.018728602,-0.019468817
1995/3/31,4559.0294,0.029502427,0.029075605,0.0573,-0.027797573,-0.028224395
1995/4/28,4693.2749,0.02944607,0.029020862,0.0565,-0.02705393,-0.027479138
1995/5/31,4880.7557,0.039946691,0.039169453,0.0567,-0.016753309,-0.017530547
1995/6/30,4994.1,0.023222695,0.022957151,0.0547,-0.031477305,-0.031742849
1995/7/31,5159.7053,0.033160189,0.03262225,0.0542,-0.021039811,-0.02157775
1995/8/31,5172.5233,0.00248425,0.00248117,0.054,-0.05151575,-0.05151883
1995/9/29,5390.8288,0.042204836,0.041338504,0.0528,-0.010595164,-0.011461496
1995/10/31,5371.5038,-0.003584792,-0.003591233,0.0528,-0.056384792,-0.056391233
1995/11/30,5607.1714,0.043873673,0.042938479,0.0536,-0.009726327,-0.010661521
1995/12/29,5714.9438,0.019220458,0.019038078,0.0514,-0.032179542,-0.032361922
1996/1/31,5909.1022,0.033973807,0.033409444,0.05,-0.016026193,-0.016590556
1996/2/29,5963.8193,0.009259799,0.00921719,0.0483,-0.039040201,-0.03908281
1996/3/29,6021.2157,0.009624101,0.009578084,0.0496,-0.039975899,-0.040021916
1996/4/30,6109.7919,0.014710684,0.014603531,0.0495,-0.034789316,-0.034896469
1996/5/31,6266.9289,0.025718879,0.025393712,0.0502,-0.024481121,-0.024806288
1996/6/28,6290.731,0.003798049,0.003790854,0.0509,-0.047101951,-0.047109146
1996/7/31,6012.6513,-0.044204672,-0.045211481,0.0515,-0.095704672,-0.096711481
1996/8/30,6139.5022,0.021097332,0.020877865,0.0505,-0.029402668,-0.029622135
1996/9/30,6485.0837,0.056288195,0.05476106,0.0509,0.005388195,0.00386106
1996/10/31,6663.8363,0.027563653,0.027190615,0.0499,-0.022336347,-0.022709385
1996/11/29,7167.4953,0.075580938,0.072860923,0.0503,0.025280938,0.022560923
1996/12/31,7025.3341,-0.019834153,-0.02003349,0.0491,-0.068934153,-0.06913349
1997/1/31,7464.1201,0.06245767,0.060584781,0.0503,0.01215767,0.010284781
1997/2/28,7522.6231,0.007837896,0.00780734,0.0501,-0.042262104,-0.04229266
1997/3/31,7213.554,-0.041085283,-0.041953137,0.0514,-0.092485283,-0.093353137
1997/4/30,7643.9876,0.059670115,0.057957648,0.0516,0.008070115,0.006357648
1997/5/30,8109.3498,0.060879507,0.059098288,0.0505,0.010379507,0.008598288
1997/6/30,8472.6743,0.04480316,0.043828504,0.0493,-0.00449684,-0.005471496
1997/7/31,9146.4178,0.07951958,0.076516109,0.0505,0.02901958,0.026016109
1997/8/29,8633.7477,-0.056051463,-0.05768363,0.0514,-0.107451463,-0.10908363
1997/9/30,9106.5737,0.054764862,0.053317862,0.0495,0.005264862,0.003817862
1997/10/31,8802.3483,-0.03340723,-0.033977999,0.0497,-0.08310723,-0.083677999
1997/11/28,9209.8929,0.046299531,0.045259683,0.0514,-0.005100469,-0.006140317
1997/12/31,9367.8588,0.017151763,0.017006332,0.0516,-0.034448237,-0.034593668
1998/1/30,9471.369,0.011049505,0.010988905,0.0504,-0.039350495,-0.039411095
1998/2/27,10154.4812,0.072123914,0.069641647,0.0509,0.021223914,0.018741647
1998/3/31,10674.3993,0.051200853,0.04993318,0.0503,0.000900853,-0.00036682
1998/4/30,10781.5338,0.010036584,0.009986551,0.0495,-0.039463416,-0.039513449
1998/5/29,10595.8894,-0.017218737,-0.017368704,0.05,-0.067218737,-0.067368704
1998/6/30,11026.1867,0.040609833,0.039806919,0.0498,-0.009190167,-0.009993081
1998/7/31,10908.6512,-0.010659669,-0.01071689,0.0496,-0.060259669,-0.06031689
1998/8/31,9331.4499,-0.144582613,-0.156165758,0.049,-0.193582613,-0.205165758
1998/9/30,9929.2689,0.064064964,0.062096445,0.0461,0.017964964,0.015996445
1998/10/30,10736.824,0.081330771,0.078192478,0.0396,0.041730771,0.038592478
1998/11/30,11387.5356,0.060605594,0.05884006,0.0441,0.016505594,0.01474006
1998/12/31,12043.4921,0.057603025,0.056005051,0.0439,0.013703025,0.012105051
1999/1/29,12547.1057,0.041816244,0.040965578,0.0434,-0.001583756,-0.002434422
1999/2/26,12157.0622,-0.031086333,-0.031579766,0.0444,-0.075486333,-0.075979766
1999/3/31,12643.4388,0.040007741,0.039228157,0.0444,-0.004392259,-0.005171843
1999/4/30,13132.9572,0.038717188,0.037986479,0.0429,-0.004182812,-0.004913521
1999/5/31,12822.8002,-0.023616692,-0.023900036,0.045,-0.068616692,-0.068900036
1999/6/30,13534.4325,0.055497418,0.054012142,0.0457,0.009797418,0.008312142
1999/7/30,13111.6953,-0.031234202,-0.031732391,0.0455,-0.076734202,-0.077232391
1999/8/31,13046.9868,-0.004935174,-0.004947392,0.0472,-0.052135174,-0.052147392
